Las 500 mejores canciones de la historia segun la revista Rolling Stone

Formato: MP3
Bitrate: 192-320kbps
Peso: 2,81GB
299 Prince - Sign 'O' the Times 5,19mb
300 Madonna - Like a Prayer 4,36mb
301 Rod Stewart - Do Ya Think I'm Sexy? 12,6mb
302 Willie Nelson - Blue Eyes Crying In the Rain 3,29mb
303 The Rolling Stones - Ruby Tuesday 4,66mb
304 The Beatles - With a Little Help from My Friends 3,83mb
305 James Brown - Say It Loud -- I'm Black and Proud 5,16mb
306 The Jam - That's Entertainment 6,09mb
307 Frankie Lymon and the Teenagers - Why Do Fools Fall In Love 3,23mb
308 Jackie Wilson - Lonely Teardrops 4,98mb
309 Tina Turner - What's Love Got To Do With It 5,35mb
310 Black Sabbath - Iron Man 9,74mb
311 The Everly Brothers - Wake Up Little Susie 4,61mb
312 Roy Orbison - In Dreams 4,02mb
313 Screamin' Jay Hawkins - I Put a Spell on You 3,65mb
314 Pink Floyd - Comfortably Numb 14,7mb
315 The Animals - Don't Let Me Be Misunderstood 3,45mb
316 Pink Floyd - Wish You Were Here 7,38mb
317 Jimmy Cliff - Many Rivers to Cross 4,24mb
318 Elvis Costello - Alison 4,39mb
319 Alice Cooper - School's Out 5,57mb
320 Led Zeppelin - Heartbreaker 5,89mb
321 Neil Young - Cortez the Killer 10,4mb
322 Public Enemy - Fight the Power 5,23mb
323 Patti Smith Group - Dancing Barefoot 5,09mb
324 The Supremes - Baby Love 3,58mb
325 The Young Rascals - Good Lovin' 3,51mb
326 James Brown - Get Up (I Feel Like Being a) Sex Machine 7,36mb
327 Jerry Butler and the Impressions - For Your Precious Love 3,74mb
328 The Doors - The End 21,5mb
329 Earth, Wind and Fire - That's the Way of the World 10,3mb
330 Queen - We Will Rock You 4,74mb
331 Bonnie Raitt - I Can't Make You Love Me 7,68mb
332 Bob Dylan - Subterranean Homesick Blues 3,32mb
333 Norman Greenbaum - Spirit in the Sky 3,84mb
334 The Rolling Stones - Wild Horses 7,96mb
335 The Velvet Underground - Sweet Jane 9,58mb
336 Aerosmith - Walk This Way 5,47mb
337 Michael Jackson - Beat It 5,89mb
338 Paul McCartney - Maybe I'm Amazed 7,24mb
339 The Supremes - You Keep Me Hanging On 3,75mb
340 The Who - Baba O'Riley 7,16mb
341 Jimmy Cliff - The Harder They Come 4,40mb
342 Dion - Runaround Sue 3,61mb
343 Lavern Baker - Jim Dandy 3,35mb
344 Big Brother and the Holding Company - Piece of My Heart 6,01mb
345 Ritchie Valens - La Bamba 2,90mb
346 Dr. Dre and 2Pac - California 5,62mb
347 Elton John - Candle in the Wind 5,35mb
348 The Isley Brothers - That Lady (Part 1 and 2) 4,69mb
349 Ben E. King - Spanish Harlem 2,69mb
350 Little Eva - The Locomotion 3,42mb
351 The Platters - The Great Pretender 5,01mb
352 Elvis Presley - All Shook Up 4,60mb
353 Eric Clapton - Tears in Heaven 8,34mb
354 Elvis Costello - Watching the Detectives 5,32mb
355 Creedence Clearwater Revival - Bad Moon Rising 3,29mb
356 Eurythmics - Sweet Dreams (Are Made of This) 4,40mb
357 Jimi Hendrix - Little Wing 4,57mb
358 Martha and the Vandellas - Nowhere to Run 4,11mb
359 Muddy Waters - Got My Mojo Working 4,01mb
360 Roberta Flack - Killing Me Softly with His Song 6,67mb
361 The Clash - Complete Control 4,54mb
362 The Beatles - All You Need Is Love 5,30mb
363 The Box Tops - The Letter 2,72mb
364 Bob Dylan - Highway 61 Revisited 4,89mb
365 The Righteous Brothers - Unchained Melody 6,75mb
366 The Bee Gees - How Deep Is Your Love 5,64mb
367 Cream - White Room 7,34mb
368 Depeche Mode - Personal Jesus 6,85mb
369 Bo Diddley - I'm A Man 4,94mb
370 Jimi Hendrix - The Wind Cries Mary 4,67mb
371 The Who - I Can't Explain 4,82mb
372 Television - Marquee Moon 16,2mb
373 Sam Cooke - Wonderful World 5,50mb
374 Chuck Berry - Brown Eyed Handsome Man 5,36mb
375 Pink Floyd - Another Brick in the Wall Part 2 9,23mb
376 Radiohead - Fake Plastic Trees 6,71mb
377 Ray Charles - Hit the Road Jack 2,47mb
378 U2 - Pride (In the Name of Love) 6,18mb
379 R.E.M. - Radio Free Europe 6,79mb
380 Elton John - Goodbye Yellow Brick Road 4,56mb
381 Aaron Neville - Tell It Like It Is 4,22mb
382 The Verve - Bittersweet Symphony 8,28mb
383 Whipping Post - The Allman Brothers Band 7,33mb
384 The Beatles - Ticket to Ride 4,48mb
385 Crosby, Stills, Nash and Young - Ohio 4,12mb
386 Eric B and Rakim - I Know You Got Soul 7,36mb
387 Elton John - Tiny Dancer 8,72mb
388 The Police - Roxanne 4,53mb
389 The Temptations - Just My Imagination 5,21mb
390 The Four Tops - Baby I Need Your Loving 5,14mb
391 Freda Payne - Band of Gold 4,05mb
392 The Five Stairsteps - O-o-h Child 6,12mb
393 The Lovin' Spoonful - Summer in the City 3,76mb
394 Elvis Presley - Can't Help Falling in Love 7,12mb
395 The Shangri-Las - Remember (Walkin' in the Sand) 4,36mb
396 Big Star - Thirteen 3,62mb
397 Blue Ã
